Russian	Predicted	Truth
и чем	<dact>	<dact>
у я нет никакой одежда	одежда2 1ps нет2 нет2 одежда3 нет2 ноль	1ps одежда2 нет3 нет2
здесь пособие не выдавать	пособие деньги 1ps помогать 3ps давать 1ps нет2	пособие деньги 1ps помогать 3ps давать 1ps нет2
твердый	твердый	твердый2
мочь быть у вы другой причина я не знать у весь по свой	мочь быть у 2ps pl другой причина 1ps не знать свойpl	мочь быть у 2ps pl другой причина indx не.знать2 свой pl
тихий	тихий	тихий
нога муж лечить несколько месяц а потом он вернуться домой к нормальный жизнь	нога муж 3ps исправлять 3ps некоторый месяц а проходить о-н	indx 1ps исправлять 3ps некоторый месяц а проходить о-н возвращаться домой к обычный жизнь
он постучаться в последний дом и прокричать впускать отдыхать дорожный человек	3ps думать 3ps последний3 дом и прокричать прокричать отдых	indx последний смотреть стучать2 кричать выпуск дорога2 человек отдых
мы приезжать сюда с цель увидеть храм	1ps приезжать зачем что видеть церковь indx	1ps приезжать зачем что видеть церковь <dact> дворец
если вы сомневаться нужно или не нужно то хорошо добавлять бальзам ничто страшный не будет	если вы сомневаться необходимость не.нужно улучшать <dact> добавлять	если вы сомневаться необходимость не.нужно улучшать <dact> добавлять можно страх не иметь
я можно находить в Instagram во вконтакте	можно находить 1ps instagram indx можно вконтакте 1ps	можно находить 1ps instagram indx можно вконтакте 1ps
мокрый	мокрый	мокрый
мы брать разный проект к пример взять один проект и заплатить человек взять второй и третий заплатить тоже	1ps проект пример 1ps проект взять проект деньги грант <nums> человек 3ps деньги другой	проект другой получать pl indx пример indx проект indx зарплата 1ps 3ps человек indx зарплата 1ps 3ps indx зарплата 1ps 3ps
весь что у вы в жизнь происходить будет меняться	все что у 2ps pl будет происходить будет	все что у 2ps pl случай pl жизнь будет изменить
в год весь немного поутихнуть и решать проводить II съезд глухой	<nums> год чуть-чуть успокоить и <nums> год желание проводить	<nums> год чуть-чуть успокоить и <nums> год желание проводить второй форум второй форум желание проводить clf clf.люди clf.собираются clf.в clf.одном clf.месте н-о indx <dact> indx
мой друг захотеть перечитывать сказка владимир григорьевич сутеев	poss 1ps друг желание читать дизайн <dact> <dact>	poss 1ps друг желание читать дизайн <dact> <dact> <dact>
я должный уметь побеждать в война	1ps обязанность качественный стратегия	1ps обязанность качественный стратегия что война победа
там рассматривать мой проект спрашивать чем помогать и помогать я стараться участвовать в любой соревнование в новосибирск и другой город буквально в любой	indx рассматривать 1ps проект 1ps помогать 2ps стараться любой соревнование что з	clf clf.рассматривать clf.проект что нужно 1ps просить перечислять 1ps давать 2ps стараться любой соревнование что здесь новосибирск традиция город некоторый тоже традиция это indx соревнование успех принимающий участие
если месяц назад то на самоизоляция а если месяц или тогда как	<nums> месяц раньше <nums> месяц раньше <nums> месяц т-о самоизоляция если	<nums> месяц раньше <nums> месяц т-о самоизоляция если месяц <nums> месяц 3 <dact>
когда льдина уже почти растаивать он увидеть в вода деревянный бочка	когда быстрый таять медведь замечать вода indx деревянный бочка	когда быстрый таять clf clf.льдина таять медведь замечать вода indx деревянный бочка clf clf.бочка clf.плывет
например нужно или нет учить характер общение с ребенок	например характер общаться с ребенок необходимость не.нужно	например характер общаться с ребенок необходимость не.нужно
поэтому должный быть отдельный факультет для тот кто хотеть продолжать качественно учиться с переводчик	поэтому должен быть отдельный <dact> 3ps кто желание продолжать качественный	поэтому должен быть отдельный <dact> 3ps кто желание продолжать качественный clf clf.человек clf.приходить переводчик преподавание переводчик indx
семья это счастие любовь и удача	семья это счастье и удача	семья это счастье любить счастье удача
видео мы отправлять несколько человек давать он весь посмотреть	видео отправлять.сообщениеpl все человекpl давать 3ps смотреть	видео отправлять.сообщение pl все просить смотреть смотреть2
когда в школа глухой работать переводчик то они согласный приходить	школа глухой работать есть переводчик гап	школа глухой работать есть переводчик 1ps приходить гап
наш настроение легко портиться из-за политика из-за другой ситуация отношение	1ps легко грустить влиять 1ps страдать политика другой случайpl	мы очень легко грустить влиять 1ps страдать политика другой случай pl
на сегодняшний форум проблема со связь	сегодня2 тема2 indx проблема2 интернет связь	здесь сегодня <dact> проблема2 интернет связь
не столько я себя плохо чувствовать сколько хотеть оставаться дом и никто не видеть	1ps н-е только2 чувствовать плохо.себя.чувствовать	1ps н-е только2 чувствовать плохо.себя.чувствовать плюс 1ps не хотеть никто видеть
если у вы появляться ещ вопрос писать мы в комментарий под видео	если у 2ps появляться вопрос нейтр.имп. писать комментарий2	или случай ещё есть вопрос писать комментарии
а за остальной деньги куда пойти	деньги куда все деньги куда	а indx нужно <nums> успех <nums> еще деньги clf clf.много clf clf.деньги куда
понимать нужно делать шаг для это развитие а не то как вы требовать давать и далеко сидеть сложа рука	шагpl 2ps делать развитие понимать 2ps желание требовать <dact>	шаг pl <dact> необходимость <dact> это развитие понимать 2ps желание требовать <dact>
отставать	нейтр.имп.	отстать
ваш обычный еда не мочь так как я виноград гилберт	ваш обычный еда не мочь 1ps такой2 виноград гап	еда обычный простой все4 не мочь это 1ps виноград <dact>
она посмотреть вверх и увидеть красивый голубой небо и облако	3ps видеть clf clf.глаза красивый голубой небо облако	clf clf.посмотреть clf.вверх красивый <dact> небо голубой и <dact> clf clf.облако clf.pl
из москва	москва	и-з москва
умный	умный	умный
если она не давать то она начинать гавкать	если давать 3ps 3ps гавканье	если давать 3ps 1ps 3ps гавканье
и тот быть тоже быть ехать грязный рука	еда грязный	еда грязный
белый и зеленый чай зеленый кофе содержать природный кофеин который повышать влияние адреналин на жировой ткань в результат гореть наш жир	белый зеленый зеленый зеленый чай зеленый кофе природа давать <dact> это да	белый2 зеленый <dact> зеленый <dact> составлять природа давать <dact> это давать энергия увеличение <dact> <dact> ткань получаться poss 2ps <dact> огонь
можно еще кондиционер в вид пена он легкий сглаживать волос и придавать легкий увлажнение	можно <dact> <dact> пена легко clf clf.сглаживать clf.волосы	можно <dact> <dact> пена легко clf clf.сглаживать clf clf.волосы легко увлажнение
опыт помогать я чувствовать себя уверенный в себя	опыт помогать 1ps уверенный себя чувствовать	indx 1ps чувствовать себя уверенный
ну да давать премия вс правильно	премия 3ps давать 1ps	премия 3ps давать 1ps
терпимость это то что сегодня так не хватать	терпимость это сегодня нужноpl	терпимость это сегодня нужно pl
май самый т плый весенний месяц	весенний месяц <nums> плюс	<dact> всегда теплота в.течение весна теплота
всего-навсего студент	маловажный студент студент2	маловажный хз2 студент2
в полдень студент распахнуть окно и выглядывать в сад	день <nums> день студент2 открытый окно открытый видеть	день <nums> день студент2 открытый окно открытый видеть
осень ребенок надевать штаны сапог куртка и брать зонтик	осень дети одеться брюки сапоги куртка зонт <dact>	осень дети одеться брюки сапоги куртка зонт <dact>
луиза очень привязываться к девочка но удерживать она не мочь не иметь право	<dact> учить2 приглашать девочка н-о держать не мочь нет	<dact> учить сильный любить девочка н-о держать не мочь нет3 право
антон пылесосить ковер и выкидывать мусор а дедушка например помогать бабушка и заниматься внук учить антон играть в шахматы а катя читать е любимый сказка	<dact> пылесосить плоский <dact> выкидывать пример дедушка 1ps помогать 3ps бабушка	<dact> пылесосить плоский <dact> выкидывать пример дедушка 1ps помогать 3ps бабушка2 заниматься <dact> если трудно обучать2 <dact> обучать2 шахматы <dact> читать любить сказка
двигаться в правильный направление в пищевод это называться пищевой желоб	clf clf.двигаться направление правильный еда жевать2 внутренний <dact>	clf clf.двигаться направление правильный еда жевать2 внутренний <dact> назвать еда <dact>
хотеть немного подробно вы рассказывать чтобы кто-то быть полезный	желание подробный рассказывать открытый изучать все быть полезный	немного желание подробный рассказывать открытый изучать все быть полезный
я уметь красиво писать	1ps знать красивый писать	1ps красивый написать мочь2
на поляна нет гриб	территория гриб нет2	территория гриб нет2
разрушать	разрушать	разрушение2
однако встречаться различный проблема и непонятно как двигаться далеко	дальше тупикpl как	дальше тупик pl как
если сдерживаться невозможно у вы быть пара минута чтобы добегать до туалет и расслабляться	если сдерживаться невозможный у 2ps быть <nums> минута что до будет	сжатый не.мочь clf clf.чуть минута.две минута.три давать что до туалет бег2 место все4
но ты спас я жизнь	н-о 2ps спасать 1ps жизнь	н-о 2ps спасать poss 1ps жизнь
тот же фамилия и у бабушка с дедушка ведь она переходить папа от они	одинаковый фамилия бабушка2 дедушка poss 3ps родители папа передать 3ps	одинаковый фамилия бабушка2 дедушка poss 3ps родители папа потому что папа передать 3ps передать 1ps фамилия свой родители
я тоже хотеть носить красивый платье	1ps тоже желание носить красивый платье	1ps тоже желание носить платье красивый
поэтому запасаться полезный продукт и поехать	это собирать2 подготовка собирать2 и начинать	это собирать2 подготовка собирать2 и начинать
ну весь золушка теперь ты мочь ехать во дворец	все золушка 2ps мочь уезжать уезжать дворец	все сейчас <dact> 2ps мочь уезжать дворец
очень мало человек заниматься программирование	программирование дефицит <nums> человек все2	программирование дефицит <nums> человек все2
также плохой труба и канализация где протекать плохой вода и из кран так же бежать плохой и ржавый вода	плохой труба <dact> труба clf clf.течь clf.из clf	это плохой вода труба <dact> clf clf.течь clf.из clf.крана грязный ржавчина труба pl плохой <dact>
я нравиться общаться с людьмиб интересно узнавать что случаться	1ps нравиться общаться человек интересный узнать случай	1ps pl нравиться общаться человек интересный узнать случай что
весь время они играть и гулять вместе как друг мальчик заболевать	всегда игра гулять разнообразный вместеpl вдруг 1ps мальчик болезнь	вместе pl игра гулять разнообразный вместе pl вдруг 2ps мальчик болезнь
бывать что катя и антон ссориться но потом обязательно мириться	есть <dact> <dact> ссориться н-о потом быть обязательно <dact> мир2	<dact> <dact> быть pl ссориться быть pl н-о потом обязанность мириться
когда человек начинать кашлять хвататься за горло что мы должный сделать как должный помогать	человек начать кашлять2 кашлять2 задыхаться2 кашлять2 что мы	человек начать кашлять2 задыхаться2 кашлять2 что мы должен 1ps помогать 3ps какой должен был
этот чай работать как антиоксидант бороться с некоторый процесс в организм	это indx работать <dact> а <dact> бороться и некоторый процесс внутри.с	<dact> indx работать2 как <dact> как против организм что есть
он слушать когда говорить и понимать	3ps слушать говорить2 понимать	3ps слушать говорить2 indx понятый
главное чтобы он действительно представлять то как бы он хотеть чтобы быть	главный 3ps представить3 3ps желание что был	главный 3ps должен представить3 <dact> 3ps желание что был
второй совсем не принимать	следующий3 совсем взять не	следующий3 второй совсем взять не
они часто приходить на берег и плавать прыгать в вода	двое часто приходить плавание clf clf.сглаживать clf clf.	двое часто приходить clf clf.берег плавание clf clf.с clf.берега clf.прыгать clf.в clf.воду
я любить красный помада	1ps любить красный губная помада	губная помада 1ps любить красный
я не хотеть выступать на концерт	концерт сцена принимающий участие не.хотеть	концерт сцена принимающий участие не.хотеть
без вы у я на сердце тоска	без 2ps сердце чувствовать грусть	без 2ps сердце чувствовать грусть
желчь	желание	<dact>
давать разбираться зачем мы есть	нейтр.имп исследовать почему мы еда почему	пробовать исследовать почему мы еда почему
привет друг я звать андрей	привет другpl 1ps имя а-й	привет друг pl 1ps имя а-й
каков причина этот проблема у глухой	причина2 indx глухой indx причина2 indx причина2 indx причина2 глу	проблема2 глухой indx причина какой
старуха удивляться	старый удивление	удивление старый
достоинстно	достоинстить	гордость
сейчас я заниматься инскусственный интеллект т е то как он распознавать жестовый язык и переводить он в текст такой вот у я тема	1ps тема2 какой это <dact> <dact> это 3ps для2 1ps говорить на жестовом	indx тема2 какой это <dact> какой это <dact> <dact> это для2 poss 3ps <dact> говорить на жестовом языке 3ps воспринимать 1ps говорить на жестовом языке 3ps воспринимать 1ps переключаться написать использовать искусственный.интеллект внутри тема2
переходить к тема	тема2 перейти	clf clf.отодвинуть тема2
счастливый	счастливый	счастливый
каков причина	причина какой	причина2 pl какой
пожалуйста научать жестовый язык	пожалуйста начать учить3 школа пожалуйста жестовый язык	пожалуйста <nums> учить3 1ps мочь2 школа пожалуйста жестовый язык
и на розовый куст на самый верхний побег начало распускаться великолепный роза	и цветок clf clf.кусты clf.распускаются последний3	кусты розовый цветок кусты clf clf.побег clf.растения начинать clf clf.распускается clf.цветок красивый шикарный цветок
если быть учитель наставник то продвижение быстрый будет потому что ты учить и сопровождать да	если б-ы учитель clf clf.человек clf.будет быстрый	быстрый будет карьера indx опыт есть 3ps учить 1ps 1ps заместитель да
вопрос такой вы уже переболеть	вопрос 3ps заболеть уже	вопрос 3ps 1ps заболеть уже
если бы я не становиться переводчик я заниматься бы продажа быть бы экономист	если 1ps переводчик нет2 1ps заниматься был продажа экономика2	если 1ps переводчик нет2 б-ы был продажа экономика2
аплодисменты	аплодисменты	аплодисменты
бывать низко температура	быть медленно температура	ниже быть <nums> ниже
главное смотреть на то как выглядеть волос и что вы нужно на каждый день	главный вы смотреть clf clf.волосы clf.лежат clf.	главный вы смотреть чувствовать clf clf.волосы clf.тяжелые что вы необходимость каждый день
далеко договариваться с государство а оно просить взятка	дальше договариваться государство 3ps взять	следующий пример государство 1ps pl договор государство беседовать взятка
как пить капсула фуд контрол	как таблетка <dact> <dact> как	как таблетка <dact> <dact> как
при пережевывание еда распадаться на кусочек чтобы организм быть легко нужный слюна она смешиваться с еда и расщеплять она	когда2 жевать2 еда clf clf.распадаться clf.	когда2 жевать2 еда clf clf.распадаться clf.кусок что организм легко2 нужно <dact> clf clf.смаковать еда жевать2 исчезать
весь крепко и крепко прижиматься соловей к шип и песня он звучать весь громко и громко ибо он петь о зарождение страсть в душа мужчина и девушка	птица2 clf clf.прижиматься clf.телом clf.	птица2 clf clf.прижиматься clf.телом clf.к clf.шипу песня кричать птица2 это о-н песня о появляться эмоция все включено мужчина2 и девочка
я хотеть выступать на концерт	1ps желание принимающий участие концерт	1ps желание принимающий участие концерт
почему выбирать это число	число выбрать почему	число выбрать почему
в концертный зал кто-то быть	концерт зал кто есть	концерт зал <dact> кто есть indx
лето расти вкусный яблоко	лето расти вкусный2	лето расти вкусный яблоко clf clf.есть clf.яблоки
вот значит ствол дерево это возникать проблема нужно узнавать каков е причина и какой оказываться последствие	indx indx дерево indx проблема2 indx indx причина <nums> что какой indx результат итог	indx indx дерево clf clf.ствол clf.дерева indx проблема2 indx причина <nums> что какой pl indx результат итог
они предлагать такой рабочий место куда человек с инвалидность не мочь устраиваться	3ps pl предлагать такой место куда человек инвалид вступить не.мочь	3ps предлагать такой работа место куда инвалид вступить просто не.мочь
они уничтожать танк противник с то чтобы обеспечивать дальнейший продвижение пехота	танк уничтовать что indx обеспечивать дальнейший продвижение	танк уничтовать что clf clf.люди двигаться
мой мама ой мой папа закаляться не знать каждый день чтобы не заболевать обливаться хлодный вода ну знать стоять под холодный душ	poss 1ps мама poss 1 папа не знать каждый день что болезнь нет clf clf 	poss1 мама poss1 папа <dact> не знать каждый день что болезнь нет clf clf.обиваться холодно не знать душ
пока	прощаться	прощаться
трудный	трудный	трудный
я часто слушать история на ваш канал и теперь решать поделиться свой	часто слушать история poss 2ps программа и решать разделение 2ps давать 1ps	часто слушать история poss 2ps программа и решать разделение 1ps делиться 3ps собственный
в итог никакой поступление энергия нет	результат никакой электричество электричество	и ждать2 электричество тратить успех тоже нет2 запас
рубль нет даайт посмотреть что туда входить	<dact> нейтр.имп. смотреть не.нужно indx включать	<nums> рубль не <nums> рубль нейтр.имп смотреть входить.во.что-то что
я тоже понимать что уже не мочь без он	1ps сам2 думать что без 3ps 1ps не мочь	1ps сам2 думать что без 3ps 1ps не мочь
поэтому она открывать страница в Instagram о рыжий кот где рассказывать история о бобо который недавно выходить на пенсия	поэтому indx открывать instagram2 страница рыжий кошка3 рассказывать	поэтому рыжий кошка3 <dact> открывать instagram2 страница рассказывать история <dact> 3ps совсем недавно уже выходить пенсия
если не получаться то во время реанимация инородный тело оно пройти в один из бронх и тогда один из легкий смочь дышать дыхание будет частичный не в полный объем	если успех не мочь успех н-о indx когда2 clf clf	если получаться нет т-о в-о время реанимация может.быть поперхнуться бронхи <dact> clf clf.инородное clf.тело clf.сдвинуться удача <nums> легкое удача пустой будет дышать н-е полный н-о часть будет
крепко прижиматься ко я милый соловушка не то день прийти рано чем заалеть роза	imp приближенный clf clf.шип clf.протыкает clf.тело	clf clf.тело дорогой птица2 если день начинать заранее красный изменять не.успевать
он не уметь кататься на лыжа	3ps не знать кататься.на.лыжах	о-н мальчик 3ps не мочь не знать кататься.на.лыжах
и вот мы сыграть свадьба и я переезжать к он у они быть три комната в квартира	вместе свадьба 1ps переезд у 3ps indx у 3ps был <nums> комнатаpl <nums>	вместе свадьба 1ps переезд у 3ps indx все включено квартира у 3ps был <nums> комната pl clf clf.комнаты
мочь быть будет кто-то с кохлеарный имлант	мочь быть какой кохлеарный.имплант вместе кохлеарный	может быть кто есть к-и кохлеарный.имплант
обязательно быть ошибка а расчет примерный	должен быть ошибка а расчет примерно	должен ошибка pl clf clf.уровень clf.разный примерно сравнить пример рассказывать
раздражать этот бесконечный ветер	раздражать всегда ветер раздражать	раздражать всегда ветер раздражать
чтобы не заболевать я делать зарядка	что болезнь нет нужно 1ps делать зарядка2	что болезнь нет 1ps делать зарядка2
кролик обращаться а я рано не быть настоящий	кролик обратиться 1ps раньше2 не.был настоящий не.был	кролик обратиться indx раньше2 не.был настоящий не.был
лето можно играть в песочница лепить кулич из песок	лето мочь игра песок делать пирожокpl делать песок	лето мочь игра песок делать пирожок pl делать песок
я самый трусливый и самый слабый из весь животное	1ps самый2 трус и самый2 слабый2 и-з живот	1ps самый3 трус и самый3 слабый2 и-з животное pl
главный задача угвеод обеспечивать мы быстрый энергия во-первых белок и жир организм усваивать в определенный количество а угвеода приниматься в любой количество	это <dact> indx обеспечивать 1ps быстрый электричество почему пример <dact> <dact> это внутри.с	<dact> это 3ps давать 1ps быстрый электричество почему пример <dact> <dact> это внутри.себя воспринимать точно сколько 1ps нужно лишний не.нужно воспринимать а <dact> все любой получать pl воспринимать
он ездить на автобус	автобус уезжать <dact>	о-н ехать.на.транспорте автобус автобус
если у вы волос торчать то и вы хотеть они сглаживать то нужно использовать коллаген шелк кератин и белок	если у 2ps pl волосы clf clf.волосы clf.торчат clf	если у 2ps pl волосы clf clf.волосы clf.торчат clf clf.волосы clf.торчат желание clf clf.сглаживать что что необходимость использовать <dact> <dact> <dact> <dact>
живот сообщать мозг и он понимать ой да да да где здесь туалет	животное 1ps отвечать 3ps 1ps где indx туалет	живот indx сообщение 1ps мозг возникать понимать да pl тулет искать
тема будет очень интересный о переводчик какой он должный быть какой качество должный обладать и т д	тема2 интересный должен какой переводчик какой должен какой исполнитель как	тема2 интересный о человек2 переводчик какой должен был какой качественный какой правила2 что пример список2 исследовать будет
потому что когда вы начинать делать что-то в ущерб себя вы начинать ненавидеть тот для кто это делать	например 1ps себе заставлять3pl похоже начинать ненавидеть2	например 1ps себе заставлять3 pl похоже 1ps начинать человек pl ненавидеть2
он встряхиваться отчего мышонок упасть на земля	3ps вместе мышь2 clf clf.цветок clf.распадают земля	трястись2 мышь2 падать2 н-а земля
и давать направление действительно нужно развивать	и это направление действительно нужно развивать	и это направление действительно нужно развивать
я премия не давать	премия давать 1ps	премия давать 1ps не был
чуть в легкий не попадать	indx clf clf.чуть легкие попал clf clf.чуть	indx clf clf.чуть легкие попал clf clf.чуть
вот например весь знать проблема глухой работа и т д	indx проблема2 глухой все знать проблема2 глухой работа есть перечислять2	1ps пример проблема2 глухой все самый знать проблема2 работать перечислять2
нужно делать шаг	необходимость делать шаг	необходимость шаг pl
сжимание стенка называться перистальтика	clf clf.стенки clf.пищевода clf.сжиматься назва	clf clf.стенки clf.пищевода clf.сжиматься назвать <dact>
а человек заложник потом отпускать	брать.за.руку уводить	брать.за.руку уводить да
сразу невозможно быть получать	indx <nums> любой толпа получать не.мочь.сделать	indx <nums> любой толпа получать не.мочь.сделать
в трудовой ресурс зарплата такой же как в материальный	трудовой зарплата труд тоже indx зарплата какой	зарплата труд тоже indx мочь ждать
мой брат не любить шоколад с то момент как отравляться он	poss 1ps брат не любить шоколад не мочь животное2 когда2 indx отрав	когда2 3ps poss <nums> брат яд шоколад после2 это не.любить шоколад
я весь этот три день участвовать рассказывать защищать свой проект сказать что у я уже быть письмо поддержка например от музей балл быстро подсчитывать и это быть успех	день <nums> это 1ps делать indx 1ps рассказывать 2ps защищать 1ps рассказывать 2ps что	день <nums> это indx 1ps делать 1ps рассказывать 2ps защищать 3ps финал защищать 1ps рассказывать 2ps что 1ps indx <dact> есть 3ps поддерживать 1ps печать indx спонсор все есть известный быстрый <dact> и 1ps успех
смотреть группа из человек это мало человек это много	смотреть <nums> человек <nums> человек мало <nums> человек мало <nums> человек мало <nums> человек мало <nums> человек мало	смотреть indx <nums> человек группа <nums> человек мало <nums> человек множество толпа
урок называться наш дружный семья	урок назвать poss 1ps pl дружба семья	урок назвать poss 1ps pl дружба семья
кто там в новосибирск быть	кто indx новосибирск есть	кто indx indx новосибирск есть
а проблема то в то что мы мочь говорить на жестовый один рука а в англия человек так не мочь	проблема2 indx англия жест только2 fs clf clf.использовать clf	indx проблема2 indx англия жест только2 fs clf clf.использовать clf.обе clf.руки два говорить на жестовом языке рука один говорить на жестовом языке мочь2 телефон говорить на жестовом языке мочь2 англия нет3
ну если ничто нет давать варить каша из топор	н-у если ничего нет2 нейтр.имп. пробовать готов	н-у если ничего нет2 нейтр.имп. пробовать готовить <dact> и-з топор2
первый раз укусить начинать жевать	когда2 первый clf clf.укусить начать жевать2	когда2 первый clf clf.укусить начать жевать2
температура то повышаться то понижаться снег мочь то неделя лежать а мочь мало и потом растаивать	температура повышать быть понижать <dact> <nums> неделя мочь меньше таять	температура повышать быть понижать clf clf.толстый clf.слой <dact> <nums> неделя мочь меньше таять
главный дед мороз удивленно посмотреть на он и сказать теперь ты быть не маленький дед мороз а лесной	главный 2ps видеть удивление дать видеть <dact> дед.мороз поменять <dact> что	дед.мороз видеть главный видеть удивление дать был <dact> дед.мороз поменять <dact> что лес точно
медвежонок ларсить жить на северный полюс вместе с мама и папа	медведь имя <dact> жизнь место северный вместе родители	медведь имя <dact> жизнь место clf clf.шар indx северный вместе родители
в это дом не бывать гость	это дом гость ноль	это дом гость ноль
ошибка считать что можно похудеть быть принимать капсула лежать на диван и ходить по тысяча шаг в день каждый день увеличивать это количество на шаг	все думать лекарство лежать лекарство уже <nums> тысяч <dact> ходить нужн	все думать лекарство лежать лекарство уже <nums> тысяч <dact> ходить нужно каждый день увеличивать <nums> ходить увеличивать
пожалуйста выбирать то кто по ваш мнение входить в сообщество глухой	пожалуйста выбрать кто 2ps мнение 2ps включать мир2 глухой	пожалуйста выбрать pl поставить.галочку выбрать poss 2ps мнение что включать мир2 глухой
весь спрашивать почему на юг так популярный одежда защищать от ветер	все спрашивать 1ps ю-г популярный одежда защита защита	все спрашивать 1ps ю-г популярный clf clf.толстая clf.одежда защита ветер
я в близкий время хотеть сделать опрос о то кто желать становиться глухой экскурсовод экскурсовод для глухой	1ps близкий время желание делать опрос кто желать дети2 глу	1ps будет опрос 3ps pl кто желание переводчик глухой <dact> проводить кто желание есть желание
